industry,year,quantity_change
Durable_Goods,1955,1.1034397933664057
321,1955,1.1220354712311817
327,1955,1.1256375535996388
331,1955,1.1954687705723286
332,1955,1.029406480206025
333,1955,1.0754471544715447
334,1955,0.9266055045871558
335,1955,0.9845594257358962
3361MV,1955,1.2616507724340025
3364OT,1955,0.9188933493569255
337,1955,1.1388809835505722
339,1955,1.077823117921386
Nondurable_Goods,1955,1.0703875171467765
311FT,1955,1.0373842112539748
313TT,1955,1.07489764142783
315AL,1955,1.0653660803914669
322,1955,1.1068478362902467
323,1955,1.0657812500000001
324,1955,1.098598995506212
325,1955,1.1184334511189635
326,1955,1.158058142816822
42,1955,1.1004554655870447
44RT,1955,1.0940319979074937
441,1955,0.0
445,1955,0.0
452,1955,0.0
4A0,1955,0.0
Transportation_Warehousing,1955,1.0735230516391316
481,1955,0.0
482,1955,0.0
483,1955,0.0
484,1955,0.0
485,1955,0.0
486,1955,0.0
487OS,1955,0.0
493,1955,0.0
Information,1955,1.0621960206337508
511,1955,0.0
512,1955,0.0
513,1955,0.0
514,1955,0.0
Finance_Insurance_RealEstate_Rental_Leasing,1955,1.0395670365653993
Finance_Insurance,1955,1.064927110131079
521CI,1955,0.0
523,1955,0.0
524,1955,0.0
525,1955,0.0
RealEstate_Rental_Leasing,1955,1.0284402310768774
531,1955,1.0257239149872757
HS,1955,0.0
ORE,1955,0.0
532RL,1955,1.0620105481860316
Professional_BusinessServices,1955,1.0811420982735724
Professional_Scientific_TechnicalServices,1955,1.0798600063633472
5411,1955,0.0
5415,1955,0.0
5412OP,1955,0.0
55,1955,1.0690463505594032
Administrative_WasteManagementServices,1955,1.1103236475313019
561,1955,0.0
562,1955,0.0
EducationalServices_HealthCare_SocialAssistance,1955,1.0282198893780337
61,1955,1.0342624317066396
622HO,1955,1.0267323250087934
621,1955,0.0
622,1955,0.0
623,1955,0.0
624,1955,0.0
Arts_Entertainment_Recreation_Accommodation_FoodServices,1955,1.029460393807305
Arts_Entertainment_Recreation,1955,1.0505804984980107
711AS,1955,0.0
713,1955,0.0
Accommodation_FoodServices,1955,1.02550252368724
721,1955,1.013589318163862
722,1955,1.0278580115536637
81,1955,1.0666637331690576
Government,1955,0.9925791094931392
Federal,1955,0.955733827008125
GFG,1955,0.9546069904824417
GFGD,1955,0.0
GFGN,1955,0.0
GFE,1955,0.972038504354659
State_Local,1955,1.0676782426512603
GSLG,1955,1.0670942279230389
GSLE,1955,1.072162594199589
Private_Goods_Industries,1955,1.0825972862263185
Private_Services_Industries,1955,1.0654775874207931
Information_Communications_Technology_Industries,1955,0.0
All_Industries,1956,1.012148459919648
Private_Industries,1956,1.0149186931224823
Agriculture_Forestry_Fishing_Hunting,1956,1.0116049923363257
111CA,1956,1.013693113169553
113FF,1956,0.9887326943556974
Mining,1956,1.0043368427200912
211,1956,1.0493374314959258
212,1956,0.9834455933972108
213,1956,0.9642263427109975
22,1956,1.0726981283296404
