"Chain-Type Quantity Indexes for Gross Output by Industry"
"[2009=100]" 
"Bureau of Economic Analysis" 
"Release Date: March 03, 2017"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    52","    Broadcasting and telecommunications","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",7.361,7.869,8.648,9.476,10.163,10.863,11.779,12.448,12.886,13.725,15.006,15.706,17.053,18.356,19.644,21.639,23.434,24.716,26.541,28.261,29.620,30.004,31.553,32.608,33.444,34.705,35.301,36.620,36.877,38.513,40.386,42.540,45.822,49.385,54.816
"    53","    Data processing, internet publishing, and other information services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",5.301,5.710,6.168,6.777,7.147,8.147,9.430,10.265,11.002,12.628,13.660,14.445,14.219,15.120,16.671,18.932,21.064,22.322,23.675,24.327,25.116,25.193,25.124,25.586,22.856,24.335,26.352,27.986,28.300,29.351,31.057,34.476,37.643,40.134,38.548
"    54","  Finance, insurance, real estate, rental, and leasing",7.732,7.934,8.229,8.878,9.395,9.777,10.365,10.994,11.429,11.773,12.073,12.460,13.427,13.888,14.494,15.054,15.446,16.814,17.969,18.655,19.597,20.515,21.721,22.509,23.370,24.523,25.379,26.529,27.499,28.274,29.730,31.586,33.274,34.588,35.544,37.117,39.910,42.370,45.294,46.909,48.980,50.855,52.163,53.205,53.492,54.545,57.120,59.302,60.899,64.060,66.979
"    55","    Finance and insurance",5.723,5.870,5.914,6.438,6.892,6.995,7.711,8.163,8.693,9.048,9.230,9.296,10.356,10.664,11.322,11.614,11.708,13.116,13.985,14.128,14.641,15.292,16.293,16.835,16.901,17.454,17.683,18.576,19.647,19.990,21.535,22.986,24.405,25.839,26.768,29.674,33.858,36.510,40.169,41.688,44.278,44.175,44.949,44.594,45.206,45.443,49.084,50.782,53.100,56.742,60.995
"    56","      Federal Reserve banks, credit intermediation, and related activities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",12.956,14.699,15.547,15.972,17.168,16.961,19.288,20.950,21.429,21.889,21.856,24.038,25.176,23.665,24.071,26.648,29.502,32.807,34.366,38.418,43.560,45.475,48.393,51.352,52.738,53.531,52.930,53.036,51.916,51.214,54.577,56.628,58.355,62.114,65.511
"    57","      Securities, commodity contracts, and investments","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",2.535,2.837,3.215,3.373,3.890,4.240,3.684,2.866,3.402,3.596,2.954,2.499,2.918,3.092,3.820,3.695,4.478,4.624,4.949,6.250,9.275,9.164,10.720,12.911,14.480,12.834,14.182,13.128,15.653,16.963,21.716,23.400,29.654,38.024,46.686
"    58","      Insurance carriers and related activities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",19.557,21.695,23.074,22.816,22.216,24.370,25.231,25.713,24.571,25.754,27.276,28.039,29.725,32.657,36.512,38.810,38.839,38.908,39.335,41.725,45.133,51.447,57.579,56.009,58.897,61.187,61.855,61.778,62.964,63.462,64.837,66.342,64.966,63.900,66.066
"    59","      Funds, trusts, and other financial vehicles","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",11.683,12.812,13.668,13.615,14.577,15.033,16.531,17.656,17.419,17.040,18.569,18.603,19.383,22.526,25.384,23.103,22.970,25.585,27.643,31.576,32.125,36.214,40.471,40.796,52.557,45.630,50.746,51.383,45.655,43.227,51.268,50.639,57.474,63.831,64.647
"    60","    Real estate and rental and leasing",9.508,9.758,10.247,11.014,11.600,12.198,12.720,13.502,13.886,14.236,14.632,15.272,16.211,16.803,17.389,18.175,18.817,20.177,21.589,22.752,24.083,25.242,26.627,27.643,29.278,31.014,32.499,33.874,34.687,35.897,37.192,39.399,41.300,42.458,43.428,43.798,45.305,47.576,49.819,51.516,53.126,56.735,58.512,60.784,60.784,62.568,64.170,66.780,67.732,70.455,72.172
"    61","      Real estate",10.238,10.516,11.055,11.885,12.519,13.162,13.705,14.539,14.913,15.252,15.660,16.336,17.310,17.895,18.467,19.222,19.788,21.059,22.626,23.935,25.246,26.441,27.793,28.668,30.161,31.764,33.379,34.937,36.000,37.352,38.742,40.978,42.639,43.566,44.343,44.469,46.082,48.196,50.436,52.130,53.912,57.132,58.802,61.001,61.398,63.266,64.671,67.149,67.959,70.316,71.796
"    62","        Housing","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    63","        Other real estate","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
